step,reward,reward_std,kl,loss,grad_norm,completion_length,mean_length,num_tokens,std,frac_reward_zero_std,learning_rate
29,0.39046,0.12524,0.88962,0.0009,1.88824,620.0,36.98438,641705.0,0.15876,0.0,1e-05
30,0.35923,0.12389,0.24489,0.0002,0.3569,67.0,32.25781,663954.0,0.16414,0.0,1e-05
31,0.39496,0.12289,0.25388,0.0003,0.29221,64.0,32.25,686050.0,0.18465,0.0,1e-05
32,0.38066,0.11233,0.06843,0.0001,0.61153,32.0,32.0,708226.0,0.13652,0.0,1e-05
33,0.37493,0.129,0.07401,0.0001,0.54255,32.0,32.0,730410.0,0.17096,0.0,1e-05
34,0.34819,0.11741,0.23627,0.0002,0.47522,73.0,32.5,752706.0,0.15478,0.0,1e-05
35,0.39169,0.10879,0.07109,0.0001,0.5467,32.0,32.0,774938.0,0.15131,0.0,1e-05
36,0.40172,0.10633,0.42368,0.0004,0.4935,48.0,32.125,797170.0,0.12506,0.0,1e-05
37,0.41991,0.10634,0.4694,0.0005,0.51194,44.0,32.04688,819344.0,0.15462,0.0,1e-05
38,0.45669,0.10829,0.6067,0.0006,0.86609,38.0,31.85938,841646.0,0.15223,0.0,1e-05
39,0.40222,0.09379,0.575,0.0006,0.76384,42.0,32.35938,863748.0,0.1498,0.0,1e-05
40,0.42302,0.11316,0.19128,0.0002,0.30624,317.0,34.49219,886211.0,0.16058,0.0,1e-05
41,0.45109,0.09892,0.36723,0.0004,0.48073,76.0,32.46094,908494.0,0.11583,0.0,1e-05
42,0.43427,0.0949,0.23211,0.0002,0.846,32.0,31.92969,930597.0,0.1148,0.0,1e-05
43,0.44959,0.08767,0.3788,0.0004,0.45302,32.0,32.0,952733.0,0.13205,0.0,1e-05
44,0.48813,0.07701,0.93769,0.0009,0.50821,38.0,32.03906,974930.0,0.12457,0.0,1e-05
45,0.47174,0.09594,0.39204,0.0004,0.38783,80.0,32.38281,997219.0,0.12833,0.0,1e-05
46,0.48267,0.07589,0.27163,0.0003,0.24622,114.0,32.55469,1019522.0,0.12415,0.0,1e-05
47,0.48465,0.07517,0.59307,0.0006,0.38923,54.0,32.21875,1041742.0,0.12135,0.0,1e-05
48,0.48955,0.05836,5.12475,0.0051,0.90087,38.0,32.09375,1063962.0,0.09878,0.0625,1e-05
49,0.52016,0.08427,0.6579,0.0007,0.59599,34.0,32.01562,1086188.0,0.108,0.0,1e-05
50,0.4664,0.07802,0.43685,0.0004,0.31898,83.0,32.45312,1108478.0,0.11887,0.0,1e-05
51,0.48606,0.07006,0.77349,0.0008,0.44726,50.0,32.1875,1130702.0,0.11467,0.0625,1e-05
52,0.47425,0.06055,0.34417,0.0003,0.5641,32.0,31.96875,1152810.0,0.08432,0.0625,0.0
53,0.50531,0.07089,0.81897,0.0008,0.42566,47.0,32.16406,1175063.0,0.11153,0.0,0.0
54,0.44992,0.07749,0.76522,0.0008,0.64157,34.0,32.0,1197151.0,0.11533,0.0,0.0
55,0.47757,0.07129,0.46358,0.0005,0.32393,92.0,32.92188,1219413.0,0.10122,0.0,0.0
56,0.48428,0.06259,0.33642,0.0003,0.96747,32.0,31.79688,1241515.0,0.11604,0.0,0.0
57,0.46898,0.04673,1.10628,0.0011,0.48667,38.0,32.04688,1263673.0,0.09853,0.0625,0.0
58,0.47524,0.08094,0.74027,0.0007,0.84389,34.0,31.98438,1285727.0,0.11133,0.0,0.0
59,0.45249,0.07607,0.61316,0.0006,0.47932,68.0,32.25781,1307848.0,0.10704,0.0,0.0
60,0.50493,0.04919,0.30263,0.0003,0.58845,32.0,32.0,1330072.0,0.09894,0.0,0.0
61,0.47858,0.06882,0.90654,0.0009,0.38843,49.0,32.13281,1352185.0,0.10766,0.0,0.0
62,0.51192,0.07646,0.34505,0.0003,0.21225,341.0,35.21094,1374724.0,0.12175,0.0625,0.0
63,0.50713,0.05823,0.29135,0.0003,0.47898,32.0,32.0,1396900.0,0.09575,0.0,0.0
64,0.46038,0.06371,0.69932,0.0007,0.41809,58.0,32.27344,1419095.0,0.08936,0.0625,0.0
65,0.45586,0.06228,0.30775,0.0003,0.54813,32.0,32.0,1441175.0,0.08892,0.0,0.0
66,0.4468,0.06805,0.27433,0.0003,0.96538,32.0,31.95312,1463249.0,0.10157,0.0,0.0
67,0.48495,0.06328,0.98699,0.001,0.45589,41.0,32.07031,1485338.0,0.09076,0.0,0.0
68,0.50891,0.05457,0.48292,0.0005,0.65928,32.0,32.0,1507570.0,0.09728,0.0,0.0
69,0.49015,0.07395,0.32266,0.0003,0.91941,32.0,31.9375,1529706.0,0.09839,0.0,0.0
70,0.53798,0.06933,0.36603,0.0004,0.22807,100.0,32.57812,1552044.0,0.11118,0.0625,0.0
71,0.45506,0.06556,0.79478,0.0008,0.65404,45.0,32.05469,1574211.0,0.09351,0.0625,0.0
72,0.50439,0.06286,0.31102,0.0003,0.47904,32.0,32.0,1596331.0,0.10353,0.0,0.0
73,0.47472,0.06837,0.28624,0.0003,0.189,167.0,33.10156,1618528.0,0.11254,0.0,0.0
74,0.55047,0.06811,0.28709,0.0003,0.57766,32.0,32.0,1640656.0,0.13823,0.0,0.0
75,0.49403,0.06872,0.44585,0.0004,0.31895,427.0,35.08594,1663203.0,0.09584,0.0,0.0
76,0.5146,0.06534,0.32706,0.0003,0.65162,33.0,31.99219,1685386.0,0.0991,0.0,0.0
77,0.47549,0.0543,0.26284,0.0003,0.68099,32.0,32.0,1707522.0,0.10029,0.0,0.0
78,0.49307,0.06196,0.29129,0.0003,0.62027,32.0,32.0,1729642.0,0.11737,0.0,0.0
79,0.45483,0.0687,0.27862,0.0003,0.69111,32.0,32.0,1751770.0,0.10447,0.0,0.0
80,0.51379,0.06957,0.27131,0.0003,0.5888,32.0,32.0,1773850.0,0.12906,0.0,0.0
81,0.47988,0.07058,0.66236,0.0007,0.71997,32.0,32.0,1795930.0,0.11115,0.0625,0.0
82,0.48296,0.05783,0.25279,0.0003,0.66717,32.0,32.0,1818042.0,0.09164,0.0,0.0
83,0.49967,0.06729,0.28261,0.0003,0.12376,264.0,33.78906,1840487.0,0.11928,0.0,0.0
84,0.51636,0.06189,0.2729,0.0003,0.49986,32.0,32.0,1862719.0,0.08062,0.0,0.0
85,0.52728,0.06188,0.43266,0.0004,0.70645,32.0,32.0,1884887.0,0.1126,0.0,0.0
86,0.50402,0.07134,1.36443,0.0014,0.65378,41.0,32.07031,1907040.0,0.10976,0.0,0.0
87,0.51196,0.07083,0.49844,0.0005,0.61872,32.0,32.0,1929240.0,0.10909,0.0,0.0
88,0.53042,0.08105,0.26645,0.0003,0.67364,32.0,32.0,1951400.0,0.12179,0.0,0.0
89,0.49865,0.08451,0.2998,0.0003,0.18328,177.0,33.13281,1973649.0,0.1224,0.0,0.0
90,0.53609,0.07302,0.38079,0.0004,0.67897,32.0,32.0,1995681.0,0.11975,0.0,0.0
91,0.51387,0.07161,0.64146,0.0006,0.70173,32.0,32.0,2017841.0,0.12665,0.0,0.0
92,0.51123,0.06017,0.25651,0.0003,0.55324,32.0,32.0,2039937.0,0.13585,0.0,0.0
93,0.51504,0.07072,0.29724,0.0003,0.74682,32.0,31.98438,2062063.0,0.09052,0.0,0.0
94,0.48296,0.07549,0.34025,0.0003,0.70008,32.0,32.0,2084119.0,0.11195,0.0,0.0
95,0.50088,0.0748,0.27967,0.0003,0.85146,32.0,32.0,2106255.0,0.12832,0.0,0.0
96,0.54843,0.07474,0.26958,0.0003,0.55892,32.0,32.0,2128439.0,0.12018,0.0,0.0
97,0.48735,0.06188,0.27938,0.0003,0.56849,32.0,32.0,2150471.0,0.09075,0.0,0.0
98,0.51987,0.07097,0.25835,0.0003,0.68659,32.0,32.0,2172567.0,0.13049,0.0,0.0
99,0.49644,0.0728,0.24835,0.0002,0.20307,158.0,32.98438,2194821.0,0.10603,0.0,0.0
100,0.53286,0.07883,0.25151,0.0003,0.61941,32.0,32.0,2216933.0,0.13229,0.0,0.0
